,Mechanotransduction,ECM_Homeostasis,Autophagy,Senescence,ER_Stress,Inflammation,Ferroptosis
GSM3526782,0.5101210697193683,0.07119419207824997,0.234544448071417,-0.3406127389991973,-0.516356019388035,0.15189013991458147,0.6453577718798356
GSM3526783,-0.33163337541131477,0.21794723136084324,-0.1868115189141061,0.3311531871205661,-0.7048615987419883,0.02473289693991144,0.06445324833392538
GSM3526784,0.4142601562956117,-0.06842125498560425,-0.016097878988046564,0.1347432407064437,0.25483079466972347,0.9225567238743873,-0.07508639667010981
GSM3526785,-0.2219483290543355,0.6854831269737411,0.5561419334490915,0.24912978165902588,0.38135259899664437,0.10123383955741391,-0.07367237221785046
GSM3526786,-0.0953519400940806,-0.6216588615261807,1.0222825229533727,-0.6854664074149099,-0.8283313201623994,0.38032047485662246,-0.4496615680816425
GSM3526787,-0.5568253072617839,0.286407026665816,-0.2473389896998442,0.20817351278423235,-0.6698329589120356,-0.2879643914327676,-0.06177385094945469
GSM3526788,-0.08699803419563096,0.4532053900393101,0.5272001511428179,0.04998785143112771,0.1485824852096492,0.09559275493057248,-0.2381338708438281
GSM3526789,0.046906865369827015,0.11949959803470628,-0.7149568577664825,0.3029211453525674,-1.0147628898356391,0.12694052858360125,-0.04413124497809552
GSM3526790,-0.345051764889874,0.07191733179332818,-0.09711331870874969,0.21073802997294477,-0.17281368545702774,-0.7140982001262186,-0.28987796628638074
GSM3526791,-0.20035303565867124,-0.23800429860163172,-0.742399248668017,0.2927138464907928,0.7729093577084385,-0.2388693690147417,-0.03189198952263913
GSM3526792,0.15806563176729582,-0.48595865862740567,0.07752455018456055,-0.3529167436389666,0.8879985778046688,-0.5142585353262229,-0.6420012149589407
GSM3526793,0.18753533182875107,0.3447040448292965,0.13977486323518218,0.0713148332676272,0.5447078277161719,0.5032091068487878,0.18524594860995158
GSM3526794,-0.03236019176574863,-0.04327279757798046,-0.45455212536121453,-0.543746388449047,-0.4081454480706711,-0.13832180038635386,0.3473443919566034
GSM3526795,0.3719945910256924,-0.3842378894722774,-0.13559307919895044,-0.07604454726991387,0.03310408178369011,0.22998927109281703,0.4855546108650205
GSM3526796,0.09755452499535598,-0.17903042552726095,-0.002745449074503381,0.16149485965759458,0.8889130291020836,-0.35284895153959817,0.09823192838621689
GSM3526797,0.08408380732953946,-0.22977375545694778,0.04013999734350025,-0.013583462670884115,0.40270516757671115,-0.29010448877280265,0.08004257447735694
