,Gene,Spearman_r,P_value,FDR
15963,PFDN6,0.7206,0.001638,0.4727081333333334
16151,DNAJC1,0.7206,0.001638,0.4727081333333334
21091,TMEM39B,0.7206,0.001638,0.4727081333333334
32222,lnc-BTF3L4-2,0.7206,0.001638,0.4727081333333334
22477,CCR5,0.7206,0.001638,0.4727081333333334
17136,C9orf89,-0.7206,0.001638,0.4727081333333334
5281,lnc-TTC7B-4,-0.7206,0.001638,0.4727081333333334
32484,CDK2AP2,0.7206,0.001638,0.4727081333333334
17294,DUSP5,0.7206,0.001638,0.4727081333333334
821,SNORA34,-0.7176,0.001748,0.4727081333333334
18663,SLC41A2,0.7176,0.001748,0.4727081333333334
14920,TBCD,0.7176,0.001748,0.4727081333333334
33328,CHST12,0.7176,0.001748,0.4727081333333334
28298,GPRIN3,0.7176,0.001748,0.4727081333333334
5921,lnc-ZNF516-7,0.7176,0.001748,0.4727081333333334
27051,ARPC5L,0.7147,0.001863,0.4727081333333334
13950,lnc-PLCD3-1,-0.7147,0.001863,0.4727081333333334
19543,ZDHHC14,0.7147,0.001863,0.4727081333333334
26323,GOLIM4,0.7147,0.001863,0.4727081333333334
21591,AGPS,0.7147,0.001863,0.4727081333333334
15811,CD320,0.7147,0.001863,0.4727081333333334
14456,LOC101928020,0.7118,0.001984,0.4727081333333334
7779,XLOC_l2_014720,0.7118,0.001984,0.4727081333333334
27914,PSMD2,0.7118,0.001984,0.4727081333333334
6759,MEG9,-0.7118,0.001984,0.4727081333333334
30221,ZNF705B,-0.7118,0.001984,0.4727081333333334
20817,DDX10,0.7118,0.001984,0.4727081333333334
5803,lnc-AC027763.2.1-1,-0.7118,0.001984,0.4727081333333334
24211,RRP9,0.7118,0.001984,0.4727081333333334
6875,KRT14,0.7118,0.001984,0.4727081333333334
31071,RANGAP1,0.7093,0.002089,0.4727081333333334
13543,MCM3AP-AS1,0.7088,0.002112,0.4727081333333334
22100,INPP4A,0.7088,0.002112,0.4727081333333334
16472,HARS,0.7088,0.002112,0.4727081333333334
15133,STT3A,0.7088,0.002112,0.4727081333333334
27683,PROSER2,-0.7088,0.002112,0.4727081333333334
15106,RBM8A,0.7088,0.002112,0.4727081333333334
28920,C12orf75,0.7088,0.002112,0.4727081333333334
28661,HSPA5,0.7088,0.002112,0.4727081333333334
27851,HAVCR2,0.7088,0.002112,0.4727081333333334
28867,C17orf100,0.7088,0.002112,0.4727081333333334
17404,GINS3,0.7059,0.002246,0.4727081333333334
27242,STIP1,0.7059,0.002246,0.4727081333333334
8096,CLIP1-AS1,-0.7059,0.002246,0.4727081333333334
3043,MLLT4-AS1,0.7059,0.002246,0.4727081333333334
10169,lnc-FAM59A-2,0.7059,0.002246,0.4727081333333334
11637,lnc-OLFML3-1,-0.7059,0.002246,0.4727081333333334
8015,LOC100507554,-0.7059,0.002246,0.4727081333333334
7933,TTTY10,-0.7059,0.002246,0.4727081333333334
7948,PPFIA4,-0.7059,0.002246,0.4727081333333334
14656,lnc-FAM92A1-1,-0.7059,0.002246,0.4727081333333334
25651,MESDC1,0.7059,0.002246,0.4727081333333334
3564,lnc-KIAA1147-3,-0.7059,0.002246,0.4727081333333334
22283,GAPT,-0.7059,0.002246,0.4727081333333334
12853,lnc-SPTBN5-1,0.7029,0.002387,0.4819380755813953
24171,PIN1,0.7029,0.002387,0.4819380755813953
6113,lnc-NCOA3-10,-0.7029,0.002387,0.4819380755813953
8988,lnc-C10orf131-1,-0.7029,0.002387,0.4819380755813953
21551,VPS37A,-0.7029,0.002387,0.4819380755813953
20425,CLIC5,0.7029,0.002387,0.4819380755813953
12741,lnc-SMARCC2-4,0.7029,0.002387,0.4819380755813953
19506,TSPAN31,0.7,0.002535,0.4997345294117647
26363,STK39,0.7,0.002535,0.4997345294117647
23307,BCL7B,0.7,0.002535,0.4997345294117647
12769,lnc-SNRPD1-2,-0.7,0.002535,0.4997345294117647
20831,POLR2L,0.699,0.002585,0.4997345294117647
11114,LUZP1,0.6971,0.002691,0.4997345294117647
26815,TVP23C-CDRT4,0.6971,0.002691,0.4997345294117647
17569,CRELD1,0.6971,0.002691,0.4997345294117647
24872,ZBTB2,0.6971,0.002691,0.4997345294117647
25670,PDIA3,0.6971,0.002691,0.4997345294117647
16350,TBC1D17,-0.6971,0.002691,0.4997345294117647
