,Gene,Spearman_r,P_value,FDR
14925,SMG6,0.4206,0.104768,0.7217374203531045
12297,lnc-RP11-33N16.1.1-1,0.4206,0.104768,0.7217374203531045
15342,HPS4,0.4206,0.104768,0.7217374203531045
19274,AFF2,-0.4206,0.104768,0.7217374203531045
27207,SKA1,0.4206,0.104768,0.7217374203531045
1840,lnc-SOX11-4,0.4206,0.104768,0.7217374203531045
27199,RERG,-0.4206,0.104768,0.7217374203531045
27187,SUB1,0.4206,0.104768,0.7217374203531045
27176,ITGB3,-0.4206,0.104768,0.7217374203531045
9351,lnc-CCDC103-1,0.4206,0.104768,0.7217374203531045
8899,lnc-BARD1-1,0.4206,0.104768,0.7217374203531045
27583,LZTFL1,0.4206,0.104768,0.7217374203531045
23131,SLC29A3,0.4206,0.104768,0.7217374203531045
34041,CDRT15P1,-0.4206,0.104768,0.7217374203531045
29093,SIX4,-0.4206,0.104768,0.7217374203531045
29042,GLT1D1,-0.4206,0.104768,0.7217374203531045
33491,lnc-DNAI1-1,-0.4206,0.104768,0.7217374203531045
20176,NEFH,0.4206,0.104768,0.7217374203531045
33432,SLC9A3R1,0.4206,0.104768,0.7217374203531045
13118,lnc-TM6SF1-1,0.4206,0.104768,0.7217374203531045
17694,TNC,0.4206,0.104768,0.7217374203531045
31645,C19orf48,0.4206,0.104768,0.7217374203531045
3880,lnc-C9orf79-1,-0.4206,0.104768,0.7217374203531045
22908,UNC79,-0.4206,0.104768,0.7217374203531045
7883,XLOC_l2_015578,-0.4206,0.104768,0.7217374203531045
26847,DECR1,-0.4206,0.104768,0.7217374203531045
31056,PEX26,0.4206,0.104768,0.7217374203531045
2002,MIR7515HG,0.4206,0.104768,0.7217374203531045
32768,MEF2B,-0.4206,0.104768,0.7217374203531045
3946,lnc-SHB-1,0.4206,0.104768,0.7217374203531045
23761,UBE2D3,-0.4206,0.104768,0.7217374203531045
25877,KPNA6,0.4206,0.104768,0.7217374203531045
25811,DNAH5,0.4206,0.104768,0.7217374203531045
22976,SAMD1,0.4206,0.104768,0.7217374203531045
4500,lnc-CEP57-1,0.4206,0.104768,0.7217374203531045
21536,NOTCH4,0.4206,0.104768,0.7217374203531045
19444,RASSF3,-0.4206,0.104768,0.7217374203531045
12696,lnc-SLC48A1-1,-0.4206,0.104768,0.7217374203531045
28953,GK,-0.4206,0.104768,0.7217374203531045
25653,PTPLAD1,0.4206,0.104768,0.7217374203531045
26910,PDYN,0.4206,0.104768,0.7217374203531045
23733,GTSE1,0.4206,0.104768,0.7217374203531045
10976,LINC00520,0.4206,0.104768,0.7217374203531045
20116,TMPRSS2,-0.4206,0.104768,0.7217374203531045
5475,FLJ42627,0.4206,0.104768,0.7217374203531045
164,LINC00911,0.4206,0.104768,0.7217374203531045
30007,CNPY1,0.4206,0.104768,0.7217374203531045
34637,LOC644852,-0.4206,0.104768,0.7217374203531045
6961,XLOC_l2_006670,0.4206,0.104768,0.7217374203531045
6921,LOC100130520,0.4206,0.104768,0.7217374203531045
32833,FABP9,0.4194,0.105831,0.7230680927465054
31262,NINJ1,-0.4189,0.106333,0.7230680927465054
10876,LOC339978,0.418,0.107189,0.7230680927465054
15115,ECHS1,0.4176,0.107474,0.7230680927465054
34632,RABL6,0.4176,0.107474,0.7230680927465054
6978,XLOC_l2_006832,0.4176,0.107474,0.7230680927465054
23952,SPRR3,-0.4176,0.107474,0.7230680927465054
2685,lnc-SORBS2-2,0.4176,0.107474,0.7230680927465054
15949,LOX,0.4176,0.107474,0.7230680927465054
16017,LRSAM1,-0.4176,0.107474,0.7230680927465054
15903,DNAJB8,0.4176,0.107474,0.7230680927465054
28789,NHLRC3,0.4176,0.107474,0.7230680927465054
6952,XLOC_l2_006595,0.4176,0.107474,0.7230680927465054
20120,GP1BB,-0.4176,0.107474,0.7230680927465054
3779,lnc-MATN2-2,0.4176,0.107474,0.7230680927465054
15913,GUCY1B3,-0.4176,0.107474,0.7230680927465054
20097,ZNF512B,0.4176,0.107474,0.7230680927465054
14000,LOC102724629,-0.4176,0.107474,0.7230680927465054
13989,lnc-NDUFV1-1,0.4176,0.107474,0.7230680927465054
10203,LINC00871,-0.4176,0.107474,0.7230680927465054
34092,PHKG1,0.4176,0.107474,0.7230680927465054
27788,SYT14,0.4176,0.107474,0.7230680927465054
26663,WFDC8,-0.4176,0.107474,0.7230680927465054
16134,IL10,0.4176,0.107474,0.7230680927465054
18652,TDG,0.4176,0.107474,0.7230680927465054
32487,CGN,0.4176,0.107474,0.7230680927465054
33085,ZNF474,0.4176,0.107474,0.7230680927465054
15876,ATF4,0.4176,0.107474,0.7230680927465054
12788,lnc-SNX24-1,-0.4176,0.107474,0.7230680927465054
19965,TMEM202,0.4176,0.107474,0.7230680927465054
18412,TMEM223,0.4176,0.107474,0.7230680927465054
2089,lnc-LRP1B-4,0.4176,0.107474,0.7230680927465054
26329,PCDHAC1,0.4176,0.107474,0.7230680927465054
4332,lnc-MPP7-1,0.4176,0.107474,0.7230680927465054
5105,lnc-TUBGCP3-5,0.4176,0.107474,0.7230680927465054
29585,TTTY7,-0.4176,0.107474,0.7230680927465054
4313,lnc-PITRM1-5,-0.4176,0.107474,0.7230680927465054
24458,CCDC120,0.4176,0.107474,0.7230680927465054
23373,SERPINB4,0.4176,0.107474,0.7230680927465054
23445,PRKCZ,-0.4176,0.107474,0.7230680927465054
23441,ZNF142,0.4176,0.107474,0.7230680927465054
20823,RHBDF2,0.4176,0.107474,0.7230680927465054
22373,CLN8,0.4176,0.107474,0.7230680927465054
18198,DEFB103B,0.4176,0.107474,0.7230680927465054
20691,NFIL3,-0.4176,0.107474,0.7230680927465054
29658,ZIC1,-0.4176,0.107474,0.7230680927465054
26431,ARSB,0.4176,0.107474,0.7230680927465054
30091,C5AR2,-0.4176,0.107474,0.7230680927465054
30115,POLM,-0.4176,0.107474,0.7230680927465054
24509,G0S2,-0.4176,0.107474,0.7230680927465054
27426,IMMT,0.4176,0.107474,0.7230680927465054
26751,CTDSPL,-0.4176,0.107474,0.7230680927465054
32258,GFRA4,-0.4176,0.107474,0.7230680927465054
25026,BMP8A,-0.4176,0.107474,0.7230680927465054
15767,C1orf112,0.4176,0.107474,0.7230680927465054
10223,lnc-FBXO25-2,-0.4176,0.107474,0.7230680927465054
11612,lnc-NUMB-2,-0.4176,0.107474,0.7230680927465054
10111,lnc-FAM131B-1,-0.4176,0.107474,0.7230680927465054
12119,lnc-RALGAPA2-1,0.4176,0.107474,0.7230680927465054
6680,LOC101927653,-0.4176,0.107474,0.7230680927465054
18716,NTRK3,-0.4176,0.107474,0.7230680927465054
4792,lnc-SLC2A13-3,0.4176,0.107474,0.7230680927465054
5662,TMEM92-AS1,-0.4176,0.107474,0.7230680927465054
21106,PSMA2,0.4176,0.107474,0.7230680927465054
28484,ATPAF1,0.4176,0.107474,0.7230680927465054
28513,AP4E1,0.4176,0.107474,0.7230680927465054
17697,MAMDC2,0.4176,0.107474,0.7230680927465054
9426,lnc-CD63-1,-0.4176,0.107474,0.7230680927465054
21697,SNW1,0.4176,0.107474,0.7230680927465054
17726,PCDH10,-0.4176,0.107474,0.7230680927465054
29031,LOC101926894,-0.4176,0.107474,0.7230680927465054
21219,CDSN,0.4176,0.107474,0.7230680927465054
19382,PGPEP1,0.4176,0.107474,0.7230680927465054
1010,GCSAML-AS1,0.4176,0.107474,0.7230680927465054
17289,AKR1C4,0.4176,0.107474,0.7230680927465054
23682,GEMIN6,0.4176,0.107474,0.7230680927465054
29146,WIF1,0.4176,0.107474,0.7230680927465054
976,SNAR-F,0.4176,0.107474,0.7230680927465054
31883,OVCH2,0.4176,0.107474,0.7230680927465054
12726,LOC100505739,0.4176,0.107474,0.7230680927465054
28689,DCUN1D3,0.4176,0.107474,0.7230680927465054
21403,IBTK,0.4176,0.107474,0.7230680927465054
9200,lnc-C4orf42-1,-0.4176,0.107474,0.7230680927465054
28703,MIR155HG,0.4176,0.107474,0.7230680927465054
17440,ALOX12,-0.4176,0.107474,0.7230680927465054
25753,LINGO1,0.4176,0.107474,0.7230680927465054
2776,LOC100505625,-0.4176,0.107474,0.7230680927465054
5734,LOC100506974,0.4176,0.107474,0.7230680927465054
31845,LINC00244,0.4176,0.107474,0.7230680927465054
9114,LMF1,-0.4176,0.107474,0.7230680927465054
9079,LOC339192,-0.4176,0.107474,0.7230680927465054
21418,EPC2,0.4176,0.107474,0.7230680927465054
24004,HSPA14,0.4176,0.107474,0.7230680927465054
19881,ENOX2,0.4176,0.107474,0.7230680927465054
16751,LGALS12,-0.4176,0.107474,0.7230680927465054
14715,lnc-SYNM-2,0.4176,0.107474,0.7230680927465054
32911,KRTAP9-1,-0.4176,0.107474,0.7230680927465054
20974,PTPN1,0.4176,0.107474,0.7230680927465054
24317,CDC25C,0.4176,0.107474,0.7230680927465054
11089,lnc-LRRC36-1,-0.4176,0.107474,0.7230680927465054
17062,HSP90AB1,0.4176,0.107474,0.7230680927465054
14913,MTHFSD,0.4176,0.107474,0.7230680927465054
21652,ADPRHL1,-0.4176,0.107474,0.7230680927465054
3523,lnc-SHH-1,-0.4176,0.107474,0.7230680927465054
15444,NXPH1,0.4176,0.107474,0.7230680927465054
32944,FAM227B,-0.4176,0.107474,0.7230680927465054
23418,PINLYP,0.4176,0.107474,0.7230680927465054
29290,HFM1,0.4176,0.107474,0.7230680927465054
31507,OR3A4P,-0.4176,0.107474,0.7230680927465054
22187,FFAR2,-0.4176,0.107474,0.7230680927465054
20869,PBOV1,-0.4176,0.107474,0.7230680927465054
16840,NDUFAB1,0.4176,0.107474,0.7230680927465054
16820,GOLGA8O,0.4176,0.107474,0.7230680927465054
34296,LOC284080,0.4176,0.107474,0.7230680927465054
1792,lnc-HOXD13-1,0.4176,0.107474,0.7230680927465054
26769,CIRH1A,0.4176,0.107474,0.7230680927465054
16778,PRMT8,-0.4176,0.107474,0.7230680927465054
22164,RNF25,0.4176,0.107474,0.7230680927465054
26103,FGD4,-0.4176,0.107474,0.7230680927465054
2122,lnc-HDAC4-2,-0.4176,0.107474,0.7230680927465054
18011,AES,0.4165,0.108559,0.7230680927465054
16402,TPD52L2,-0.4165,0.108559,0.7230680927465054
11660,lnc-OR51B6-1,-0.4165,0.108559,0.7230680927465054
15915,PPBP,-0.415,0.109941,0.7230680927465054
8008,lnc-NBPF3-4,-0.4147,0.110229,0.7230680927465054
12086,lnc-QPCT-2,-0.4147,0.110229,0.7230680927465054
8604,LOC101927139,-0.4147,0.110229,0.7230680927465054
30899,CNTF,0.4147,0.110229,0.7230680927465054
5397,lnc-RASGRP1-4,-0.4147,0.110229,0.7230680927465054
9943,lnc-DYNC1I1-2,-0.4147,0.110229,0.7230680927465054
20753,GAREML,0.4147,0.110229,0.7230680927465054
27361,DHFR,0.4147,0.110229,0.7230680927465054
2607,lnc-FRG1-2,0.4147,0.110229,0.7230680927465054
20800,GRID2,-0.4147,0.110229,0.7230680927465054
22317,PCTP,-0.4147,0.110229,0.7230680927465054
26360,EHBP1,0.4147,0.110229,0.7230680927465054
19869,RNF113A,0.4147,0.110229,0.7230680927465054
3848,lnc-IFT74-4,0.4147,0.110229,0.7230680927465054
8434,KLF3-AS1,0.4147,0.110229,0.7230680927465054
29513,PMS2P1,0.4147,0.110229,0.7230680927465054
31343,LOC102724876,0.4147,0.110229,0.7230680927465054
20643,BUB3,0.4147,0.110229,0.7230680927465054
3163,lnc-TMEM14A-2,0.4147,0.110229,0.7230680927465054
10438,MIR92A1,0.4147,0.110229,0.7230680927465054
22655,INTS2,0.4147,0.110229,0.7230680927465054
16305,PPP1R1B,-0.4147,0.110229,0.7230680927465054
4907,LINC00327,-0.4147,0.110229,0.7230680927465054
34009,LOC100130285,-0.4147,0.110229,0.7230680927465054
33101,C6orf57,0.4147,0.110229,0.7230680927465054
6595,lnc-SFTPD-2,-0.4147,0.110229,0.7230680927465054
16448,UQCRC1,0.4147,0.110229,0.7230680927465054
10008,lnc-EIF4EBP1-1,-0.4147,0.110229,0.7230680927465054
8232,lnc-ADAM30-1,-0.4147,0.110229,0.7230680927465054
5963,lnc-SNAPC2-1,0.4147,0.110229,0.7230680927465054
26810,RNF10,-0.4147,0.110229,0.7230680927465054
5582,lnc-CDH8-1,-0.4147,0.110229,0.7230680927465054
29645,TIMM23B,0.4147,0.110229,0.7230680927465054
33129,PRPF19,0.4147,0.110229,0.7230680927465054
13860,LOC100505564,-0.4147,0.110229,0.7230680927465054
15724,CPLX3,-0.4147,0.110229,0.7230680927465054
11576,SLC39A12-AS1,-0.4147,0.110229,0.7230680927465054
20234,TMEM87B,0.4147,0.110229,0.7230680927465054
20256,ARSF,-0.4147,0.110229,0.7230680927465054
14161,PHEX-AS1,0.4147,0.110229,0.7230680927465054
10319,lnc-G2E3-2,0.4147,0.110229,0.7230680927465054
15079,YY1AP1,-0.4147,0.110229,0.7230680927465054
30627,PC,-0.4147,0.110229,0.7230680927465054
6986,LINC01224,-0.4147,0.110229,0.7230680927465054
7025,LOC100507006,-0.4147,0.110229,0.7230680927465054
27724,CYP2E1,-0.4147,0.110229,0.7230680927465054
11580,lnc-NT5C-2,-0.4147,0.110229,0.7230680927465054
23060,NGFRAP1,-0.4147,0.110229,0.7230680927465054
24709,DENND1C,0.4147,0.110229,0.7230680927465054
11415,MYCNOS,-0.4147,0.110229,0.7230680927465054
26586,DAG1,0.4147,0.110229,0.7230680927465054
33082,GATA3,0.4147,0.110229,0.7230680927465054
2014,lnc-OSR1-1,0.4147,0.110229,0.7230680927465054
20330,ABT1,0.4147,0.110229,0.7230680927465054
20324,MEA1,0.4147,0.110229,0.7230680927465054
7935,PTMA,0.4147,0.110229,0.7230680927465054
29961,AKR7L,0.4147,0.110229,0.7230680927465054
34158,OR4D6,-0.4147,0.110229,0.7230680927465054
11380,lnc-MYH13-3,-0.4147,0.110229,0.7230680927465054
24831,ADH1C,-0.4147,0.110229,0.7230680927465054
24862,UBD,0.4147,0.110229,0.7230680927465054
10538,lnc-H3F3C-3,-0.4147,0.110229,0.7230680927465054
10164,LOC101927867,0.4147,0.110229,0.7230680927465054
22769,TRIO,0.4147,0.110229,0.7230680927465054
18165,WASF1,-0.4147,0.110229,0.7230680927465054
33422,PDE5A,-0.4147,0.110229,0.7230680927465054
13196,lnc-TMEM88B-1,0.4147,0.110229,0.7230680927465054
5685,lnc-NLK-1,0.4147,0.110229,0.7230680927465054
25545,BCAR3,0.4147,0.110229,0.7230680927465054
24329,HIST1H3E,-0.4147,0.110229,0.7230680927465054
11112,MCM3AP,0.4147,0.110229,0.7230680927465054
23622,FLOT2,-0.4147,0.110229,0.7230680927465054
24273,CD47,0.4147,0.110229,0.7230680927465054
17056,BRD8,-0.4147,0.110229,0.7230680927465054
12280,LOC643711,-0.4147,0.110229,0.7230680927465054
22060,MANEAL,0.4147,0.110229,0.7230680927465054
13248,lnc-TPCN2-5,-0.4147,0.110229,0.7230680927465054
34350,PRO2852,-0.4147,0.110229,0.7230680927465054
10657,TTC28-AS1,-0.4147,0.110229,0.7230680927465054
3456,lnc-WDR60-3,-0.4147,0.110229,0.7230680927465054
31544,LINC01168,0.4147,0.110229,0.7230680927465054
33730,CLRN1-AS1,-0.4147,0.110229,0.7230680927465054
25477,RFC5,0.4147,0.110229,0.7230680927465054
12329,lnc-RP11-50B3.2.1-2,0.4147,0.110229,0.7230680927465054
925,SNORD113-5,0.4147,0.110229,0.7230680927465054
225,LOC283177,0.4147,0.110229,0.7230680927465054
4373,lnc-BNIP3-2,-0.4147,0.110229,0.7230680927465054
30307,RNF208,-0.4147,0.110229,0.7230680927465054
28208,SLC25A32,0.4147,0.110229,0.7230680927465054
932,SNORD115-23,0.4147,0.110229,0.7230680927465054
16873,C17orf49,0.4147,0.110229,0.7230680927465054
22147,FBXO31,0.4147,0.110229,0.7230680927465054
30803,HMX3,-0.4147,0.110229,0.7230680927465054
19793,NPY,-0.4147,0.110229,0.7230680927465054
32711,CDK16,0.4147,0.110229,0.7230680927465054
29267,LOC100131496,0.4147,0.110229,0.7230680927465054
29258,GNG4,0.4147,0.110229,0.7230680927465054
31977,NUPL2,0.4147,0.110229,0.7230680927465054
33602,URM1,0.4147,0.110229,0.7230680927465054
19560,MAMLD1,0.4147,0.110229,0.7230680927465054
15307,WDSUB1,0.4147,0.110229,0.7230680927465054
25872,RAB3GAP2,0.4147,0.110229,0.7230680927465054
24188,KCNN4,-0.4147,0.110229,0.7230680927465054
3472,lnc-HNRNPA2B1-4,0.4147,0.110229,0.7230680927465054
13033,lnc-TEKT5-2,0.4147,0.110229,0.7230680927465054
33428,TC2N,0.4147,0.110229,0.7230680927465054
17581,NEIL3,0.4147,0.110229,0.7230680927465054
12522,lnc-SEC24C-1,-0.4147,0.110229,0.7230680927465054
21690,PRR22,0.4147,0.110229,0.7230680927465054
27214,POLR3H,0.4147,0.110229,0.7230680927465054
3335,lnc-DTNBP1-2,0.4147,0.110229,0.7230680927465054
21640,TRAF3,0.4147,0.110229,0.7230680927465054
5707,lnc-RGS9-1,-0.4147,0.110229,0.7230680927465054
9435,LOC102725521,0.4147,0.110229,0.7230680927465054
26001,TMEM242,0.4147,0.110229,0.7230680927465054
12983,lnc-TAT-1,0.4147,0.110229,0.7230680927465054
25659,MORC2,0.4147,0.110229,0.7230680927465054
10909,lnc-KIF15-1,-0.4147,0.110229,0.7230680927465054
17454,RBFA,0.4147,0.110229,0.7230680927465054
25747,TTC21B,0.4147,0.110229,0.7230680927465054
23838,OR2A14,0.4147,0.110229,0.7230680927465054
9276,lnc-C9orf68-1,0.4147,0.110229,0.7230680927465054
5730,lnc-ALOX12B-1,-0.4147,0.110229,0.7230680927465054
10732,lnc-IL3-3,0.4147,0.110229,0.7230680927465054
715,SNORD42A,0.4147,0.110229,0.7230680927465054
465,GGACT,0.4147,0.110229,0.7230680927465054
7199,lnc-C21orf58-1,0.4147,0.110229,0.7230680927465054
17502,EIF2B4,0.4147,0.110229,0.7230680927465054
32897,CCDC67,0.4147,0.110229,0.7230680927465054
22914,PPIL2,0.4121,0.112743,0.7239890810810811
24030,FADS3,-0.4118,0.113034,0.7239890810810811
15217,GALNS,-0.4118,0.113034,0.7239890810810811
1656,lnc-FMOD-1,-0.4118,0.113034,0.7239890810810811
18346,NPRL2,0.4118,0.113034,0.7239890810810811
27768,ZCCHC3,0.4118,0.113034,0.7239890810810811
11730,ITPKB-IT1,-0.4118,0.113034,0.7239890810810811
20273,C10orf32,0.4118,0.113034,0.7239890810810811
23538,MTERF2,0.4118,0.113034,0.7239890810810811
7391,XLOC_l2_011048,-0.4118,0.113034,0.7239890810810811
34363,GATA2,0.4118,0.113034,0.7239890810810811
32278,lnc-LIN28B-1,-0.4118,0.113034,0.7239890810810811
16970,OVOL2,0.4118,0.113034,0.7239890810810811
3582,lnc-DLGAP2-3,0.4118,0.113034,0.7239890810810811
26147,MORN1,-0.4118,0.113034,0.7239890810810811
31458,SULT4A1,-0.4118,0.113034,0.7239890810810811
9874,lnc-DLX5-1,0.4118,0.113034,0.7239890810810811
20142,SPCS1,0.4118,0.113034,0.7239890810810811
28948,ASCL2,0.4118,0.113034,0.7239890810810811
14803,CACNA2D3-AS1,0.4118,0.113034,0.7239890810810811
32458,C9orf172,0.4118,0.113034,0.7239890810810811
32230,OR6B1,0.4118,0.113034,0.7239890810810811
6003,lnc-S1PR2-1,-0.4118,0.113034,0.7239890810810811
19971,DET1,0.4118,0.113034,0.7239890810810811
3552,lnc-WDR60-1,0.4118,0.113034,0.7239890810810811
5759,lnc-COL1A1-4,-0.4118,0.113034,0.7239890810810811
19889,PPM1M,-0.4118,0.113034,0.7239890810810811
23745,BCL6,-0.4118,0.113034,0.7239890810810811
26006,NUCKS1,0.4118,0.113034,0.7239890810810811
33415,AGBL4,0.4118,0.113034,0.7239890810810811
9299,lnc-CALCOCO2-6,0.4118,0.113034,0.7239890810810811
21134,ZNF532,0.4118,0.113034,0.7239890810810811
25850,BCCIP,0.4118,0.113034,0.7239890810810811
13453,lnc-UVRAG-2,-0.4118,0.113034,0.7239890810810811
13501,lnc-WDR67-1,0.4118,0.113034,0.7239890810810811
17446,WBP2,-0.4118,0.113034,0.7239890810810811
28899,C12orf56,-0.4118,0.113034,0.7239890810810811
24582,RILPL2,-0.4118,0.113034,0.7239890810810811
2538,lnc-POLR2B-5,-0.4118,0.113034,0.7239890810810811
3427,LOC100996249,0.4118,0.113034,0.7239890810810811
5585,lnc-TK2-5,-0.4118,0.113034,0.7239890810810811
29492,KIAA1143,0.4118,0.113034,0.7239890810810811
16626,SLC25A21,0.4118,0.113034,0.7239890810810811
3446,lnc-ARHGEF5-2,0.4118,0.113034,0.7239890810810811
9147,lnc-C20orf78-4,0.4118,0.113034,0.7239890810810811
21324,LRCH3,-0.4118,0.113034,0.7239890810810811
19656,ANAPC2,0.4118,0.113034,0.7239890810810811
12691,LOC102724552,-0.4118,0.113034,0.7239890810810811
17451,PRPSAP1,0.4118,0.113034,0.7239890810810811
10830,LOC101927221,-0.4118,0.113034,0.7239890810810811
21476,PDHX,0.4118,0.113034,0.7239890810810811
18896,RETSAT,0.4118,0.113034,0.7239890810810811
27479,C21orf62-AS1,0.4118,0.113034,0.7239890810810811
28188,CCDC186,0.4118,0.113034,0.7239890810810811
29635,PHRF1,0.4118,0.113034,0.7239890810810811
29662,FAM24A,0.4118,0.113034,0.7239890810810811
25547,UBE2Q1,0.4118,0.113034,0.7239890810810811
16340,CEACAM3,-0.4118,0.113034,0.7239890810810811
1219,LOC100507389,-0.4118,0.113034,0.7239890810810811
21105,OPRL1,-0.4118,0.113034,0.7239890810810811
19491,COPS7A,0.4118,0.113034,0.7239890810810811
12611,lnc-SLC12A7-2,0.4118,0.113034,0.7239890810810811
833,SNORA55,0.4118,0.113034,0.7239890810810811
21775,ECE2,0.4118,0.113034,0.7239890810810811
3265,lnc-B3GAT2-3,-0.4118,0.113034,0.7239890810810811
2344,lnc-FAM43A-9,0.4118,0.113034,0.7239890810810811
25330,UTP3,0.4118,0.113034,0.7239890810810811
16189,TNNT3,-0.4118,0.113034,0.7239890810810811
14547,NEXN-AS1,-0.4118,0.113034,0.7239890810810811
22898,CAMKK1,-0.4118,0.113034,0.7239890810810811
30328,lnc-AFG3L2-1,-0.4118,0.113034,0.7239890810810811
15568,NXF5,-0.4118,0.113034,0.7239890810810811
7766,XLOC_l2_014549,0.4118,0.113034,0.7239890810810811
12686,lnc-SLC39A8-2,0.4118,0.113034,0.7239890810810811
17677,ADHFE1,0.4118,0.113034,0.7239890810810811
11385,MYL6B,0.4118,0.113034,0.7239890810810811
6568,XLOC_l2_001995,0.4118,0.113034,0.7239890810810811
4980,lnc-B3GALTL-1,-0.4118,0.113034,0.7239890810810811
22046,VWA3A,-0.4118,0.113034,0.7239890810810811
232,MIR143HG,-0.4118,0.113034,0.7239890810810811
27175,SCRN2,0.4118,0.113034,0.7239890810810811
17784,TRAPPC2B,0.4118,0.113034,0.7239890810810811
32663,DAB2,0.4118,0.113034,0.7239890810810811
15716,HDC,0.4118,0.113034,0.7239890810810811
22689,B3GALT4,0.4118,0.113034,0.7239890810810811
12175,lnc-REM2-2,-0.4118,0.113034,0.7239890810810811
4370,lnc-EBF3-4,-0.4118,0.113034,0.7239890810810811
1750,lnc-TMEM17-2,0.4118,0.113034,0.7239890810810811
22277,TAS2R1,0.4118,0.113034,0.7239890810810811
22247,GTF3C6,0.4118,0.113034,0.7239890810810811
3192,FLJ34503,0.4118,0.113034,0.7239890810810811
19358,BNC1,0.4118,0.113034,0.7239890810810811
15993,APH1A,0.4118,0.113034,0.7239890810810811
27359,SLC30A6,0.4118,0.113034,0.7239890810810811
22562,RNF168,0.4118,0.113034,0.7239890810810811
15978,TFR2,-0.4118,0.113034,0.7239890810810811
25129,RPGRIP1,-0.4118,0.113034,0.7239890810810811
17950,SMPD3,0.4118,0.113034,0.7239890810810811
11193,PTCSC3,0.4118,0.113034,0.7239890810810811
15825,REG3A,-0.4118,0.113034,0.7239890810810811
6066,LINC01270,-0.4118,0.113034,0.7239890810810811
2474,LOC101927087,-0.4118,0.113034,0.7239890810810811
15766,ABCA8,0.4118,0.113034,0.7239890810810811
8101,LOC101060553,0.4118,0.113034,0.7239890810810811
22598,SPZ1,0.4118,0.113034,0.7239890810810811
8163,TBC1D22A-AS1,-0.4118,0.113034,0.7239890810810811
34486,FLJ30064,0.4118,0.113034,0.7239890810810811
9962,lnc-ECEL1-2,-0.4118,0.113034,0.7239890810810811
13179,lnc-TMEM53-1,0.4118,0.113034,0.7239890810810811
10074,LOC101928202,-0.4118,0.113034,0.7239890810810811
3670,lnc-KHDRBS3-5,0.4118,0.113034,0.7239890810810811
20358,HENMT1,0.4118,0.113034,0.7239890810810811
29017,TDRD3,0.4118,0.113034,0.7239890810810811
24069,GALNT8,-0.4118,0.113034,0.7239890810810811
15159,CCT2,0.4118,0.113034,0.7239890810810811
15171,MVK,0.4118,0.113034,0.7239890810810811
7245,LOC101929374,-0.4118,0.113034,0.7239890810810811
27763,SYCN,-0.4118,0.113034,0.7239890810810811
1672,lnc-TP53BP2-1,0.4118,0.113034,0.7239890810810811
5957,lnc-ANKRD27-3,0.4118,0.113034,0.7239890810810811
7137,LOC101929567,-0.4118,0.113034,0.7239890810810811
7141,LOC102724774,-0.4118,0.113034,0.7239890810810811
34688,LOC286190,0.4118,0.113034,0.7239890810810811
23995,FAM213A,0.4118,0.113034,0.7239890810810811
28281,HBD,0.4108,0.113936,0.7239890810810811
22279,CCDC42,0.4106,0.114162,0.7239890810810811
29004,CCDC6,0.4088,0.115888,0.7239890810810811
6848,XLOC_l2_005415,-0.4088,0.115888,0.7239890810810811
10136,lnc-FAM189A1-3,0.4088,0.115888,0.7239890810810811
11601,lnc-NUDCD2-2,0.4088,0.115888,0.7239890810810811
32277,CLEC4E,-0.4088,0.115888,0.7239890810810811
24251,ST13,-0.4088,0.115888,0.7239890810810811
24207,CXCR1,-0.4088,0.115888,0.7239890810810811
95,LOC389602,-0.4088,0.115888,0.7239890810810811
32323,BSPH1,-0.4088,0.115888,0.7239890810810811
27826,GRB2,-0.4088,0.115888,0.7239890810810811
28982,CCDC180,0.4088,0.115888,0.7239890810810811
7161,XLOC_l2_008755,-0.4088,0.115888,0.7239890810810811
17927,VIPAS39,-0.4088,0.115888,0.7239890810810811
28978,TOB2,0.4088,0.115888,0.7239890810810811
5869,lnc-GALR1-1,0.4088,0.115888,0.7239890810810811
33971,UBASH3B,0.4088,0.115888,0.7239890810810811
25039,PSMA5,0.4088,0.115888,0.7239890810810811
28940,ANAPC13,-0.4088,0.115888,0.7239890810810811
22564,CCDC136,0.4088,0.115888,0.7239890810810811
33185,LINC00955,-0.4088,0.115888,0.7239890810810811
16998,ACIN1,0.4088,0.115888,0.7239890810810811
14179,lnc-TMEM232-3,-0.4088,0.115888,0.7239890810810811
8439,LOC102724508,-0.4088,0.115888,0.7239890810810811
19078,UQCRQ,0.4088,0.115888,0.7239890810810811
517,FTL,-0.4088,0.115888,0.7239890810810811
17922,NID2,-0.4088,0.115888,0.7239890810810811
17860,SYT13,0.4088,0.115888,0.7239890810810811
2377,lnc-GBE1-6,0.4088,0.115888,0.7239890810810811
27456,HAGHL,0.4088,0.115888,0.7239890810810811
17350,CSRNP2,0.4088,0.115888,0.7239890810810811
16948,AQP12A,-0.4088,0.115888,0.7239890810810811
16897,TYK2,-0.4088,0.115888,0.7239890810810811
31596,LOC100131023,0.4088,0.115888,0.7239890810810811
368,LOC100129434,-0.4088,0.115888,0.7239890810810811
16880,NCOR1,0.4088,0.115888,0.7239890810810811
11590,lnc-NTNG2-1,0.4088,0.115888,0.7239890810810811
32140,LONP1,0.4088,0.115888,0.7239890810810811
647,GPR33,-0.4088,0.115888,0.7239890810810811
